国連による世界地理区分,国名,地域名,ヒジャブの出現率,解説,地域ID,地図番号,地図の範囲,地域統計（宗教人口比率）,全国参考値（宗教人口比率・2020年）,服装の根拠,出典ID,出典URL
西アジア,アラブ首長国連邦,全域（住民の生活圏）,やや高い,湾岸のアブダビ・ドバイ・シャルジャなど。外国人住民や旅行者が多く、イスラム教国でも街頭の服装は多様。,ARE-all,105,国・地域全体,地域別数値は未取得,72.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,カタール,全域（住民の生活圏）,やや高い,東岸のドーハ周辺に人口が集中。国籍人口と全居住人口を混同しない。,QAT-all,106,国・地域全体,地域別数値は未取得,75.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,バーレーン,全域（住民の生活圏）,やや高い,マナーマ周辺など住民生活圏。外国人住民の存在も考慮する。,BHR-all,107,国・地域全体,地域別数値は未取得,74.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,クウェート,全域（住民の生活圏）,やや高い,湾岸のクウェート市周辺。外国人住民を含む人口と自国籍住民の服装は同じではない。,KWT-all,108,国・地域全体,地域別数値は未取得,80.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,パレスチナ,全域（住民の生活圏）,高い,ヨルダン川西岸・ガザのムスリム生活圏。両地域は離れている。人口移動と撮影時期の違いに注意。,PSE-all,109,国・地域全体,地域別数値は未取得,99.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,イスラエル,北部（ガリラヤのアラブ系住民の町）,やや高い,町・宗教ごとの差が大きい。頭布だけでイスラム教・国籍・民族を判断しない。,ISR-galilee,110,緯度経度で囲った概略,地域別数値は未取得,14.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ISR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/israel-west-bank-and-gaza/
西アジア,イスラエル,南部（ベエルシェバ北方のラハト周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ISR-negev,111,位置の目印（面積を持たない）,地域別数値は未取得,14.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ISR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/israel-west-bank-and-gaza/
西アジア,アゼルバイジャン,東部バクー周辺の一部,やや高い,宗教人口は多いが未着用も多い。ムスリム多数を根拠に国全体を濃い赤にしない。,AZE-baku,112,位置の目印（面積を持たない）,地域別数値は未取得,94.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,ジョージア,南西部（黒海沿岸バトゥミ周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GEO-batumi,113,位置の目印（面積を持たない）,地域別数値は未取得,10.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
中央アジア,ウズベキスタン,東端（フェルガナ盆地）,やや高い,中央アジアではムスリム人口とヒジャブ着用が一致しない。東部の生活圏に限った弱い補助候補。,UZB-ferghana,114,緯度経度で囲った概略,地域別数値は未取得,95.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
中央アジア,キルギス,南西部（オシ周辺、フェルガナ盆地の縁）,やや高い,山地全域へ広げず、南西部の生活圏を候補とする。全国着用率の実測値は未取得。,KGZ-osh,115,緯度経度で囲った概略,地域別数値は未取得,91.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,アルバニア,中西部ティラナの一部,やや高い,ムスリム人口が多くても未着用女性が多い。市内の一部の生活圏を補助候補とする。,ALB-tirana,116,位置の目印（面積を持たない）,地域別数値は未取得,74.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,コソボ,南部プリズレン周辺,やや高い,コソボはM49の独立した国コードではないため、国連区分はセルビアの南ヨーロッパを参照。服装は多様。,XKX-prizren,117,位置の目印（面積を持たない）,地域別数値は未取得,94.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,ボスニア・ヘルツェゴビナ,中東部サラエボ周辺,やや高い,ボシュニャク系ムスリムの生活圏。ムスリムの多さを一律の着用率とみなさない。,BIH-sarajevo,118,位置の目印（面積を持たない）,地域別数値は未取得,53.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,北マケドニア,北西部（テトヴォ周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,MKD-tetovo,119,位置の目印（面積を持たない）,地域別数値は未取得,34.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MKD,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/north-macedonia/
南ヨーロッパ,セルビア,南西部（ノヴィ・パザル周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,SRB-novi-pazar,120,位置の目印（面積を持たない）,地域別数値は未取得,4.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,モンテネグロ,南東部（アルバニア国境沿いのウルツィニ周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,MNE-ulcinj,121,位置の目印（面積を持たない）,地域別数値は未取得,21.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MNE,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/montenegro/
東ヨーロッパ,ブルガリア,南部（ギリシャ国境近くの山地・町）,やや高い,ロドピ山地などのムスリム生活圏。高齢女性の一般的な頭布とは区別する。,BGR-south,122,緯度経度で囲った概略,地域別数値は未取得,10.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-BGR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/bulgaria/
南ヨーロッパ,ギリシャ,北東端（トルコ・ブルガリア国境寄り）,やや高い,西トラキアのムスリム生活圏。ギリシャ本土の他地域とは分けて覚える。,GRC-thrace,123,緯度経度で囲った概略,地域別数値は未取得,5.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東ヨーロッパ,ロシア,南西部（カスピ海西岸～北コーカサス東部）,高い,チェチェン・イングーシ・ダゲスタンの生活圏。国連M49ではロシア全体が東ヨーロッパ。地域ごとに服装差がある。,RUS-caucasus,124,行政区を束ねた概略,地域別数値は未取得,8.2%,服装の質的資料あり／地域の率は未取得,PEW2025; IRF-RUS; PEW_ATTIRE,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/russia/; https://www.pewresearch.org/religion/2016/04/05/restrictions-on-womens-religious-attire/
東ヨーロッパ,ロシア,西部内陸（カザン周辺、ボルガ川中流）,やや高い,ムスリム生活圏のある別の候補。北コーカサスと同じ高い着用率は想定しない。,RUS-kazan,125,位置の目印（面積を持たない）,地域別数値は未取得,8.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-RUS,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/russia/
北ヨーロッパ,イギリス,南東部ロンドン東部（タワーハムレッツなど）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GBR-london,126,位置の目印（面積を持たない）,Tower Hamlets: 39.90% (2021年),6.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; ONS2021,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/religion/bulletins/religionenglandandwales/census2021
北ヨーロッパ,イギリス,中部バーミンガムの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GBR-birmingham,127,位置の目印（面積を持たない）,地域別数値は未取得,6.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; ONS2021,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/religion/bulletins/religionenglandandwales/census2021
北ヨーロッパ,イギリス,北部ブラッドフォード周辺,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GBR-bradford,128,位置の目印（面積を持たない）,地域別数値は未取得,6.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; ONS2021,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/religion/bulletins/religionenglandandwales/census2021
北ヨーロッパ,イギリス,北西部ブラックバーン周辺,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GBR-blackburn,129,位置の目印（面積を持たない）,Blackburn with Darwen: 35.00% (2021年),6.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; ONS2021,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/religion/bulletins/religionenglandandwales/census2021
西ヨーロッパ,フランス,北部パリと周辺の一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,FRA-paris,130,位置の目印（面積を持たない）,地域別数値は未取得,9.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; INSEE2020,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.insee.fr/fr/statistiques/6793308
西ヨーロッパ,フランス,南東岸マルセイユの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,FRA-marseille,131,位置の目印（面積を持たない）,地域別数値は未取得,9.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; INSEE2020,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.insee.fr/fr/statistiques/6793308
西ヨーロッパ,ドイツ,西部（ルール地方の都市部の一部）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,DEU-ruhr,132,位置の目印（面積を持たない）,地域別数値は未取得,6.5%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; BAMF2020,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.bamf.de/SharedDocs/Anlagen/DE/Forschung/Forschungsberichte/fb38-muslimisches-leben.html
西ヨーロッパ,ドイツ,北東部ベルリンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,DEU-berlin,133,位置の目印（面積を持たない）,地域別数値は未取得,6.5%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; BAMF2020,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.bamf.de/SharedDocs/Anlagen/DE/Forschung/Forschungsberichte/fb38-muslimisches-leben.html
西ヨーロッパ,オランダ,西部ロッテルダムの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,NLD-rotterdam,134,位置の目印（面積を持たない）,地域別数値は未取得,5.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
西ヨーロッパ,オランダ,西部アムステルダムの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,NLD-amsterdam,135,位置の目印（面積を持たない）,地域別数値は未取得,5.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
西ヨーロッパ,ベルギー,中部ブリュッセルの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,BEL-brussels,136,位置の目印（面積を持たない）,地域別数値は未取得,6.8%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
北ヨーロッパ,スウェーデン,最南部マルメの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,SWE-malmo,137,位置の目印（面積を持たない）,地域別数値は未取得,8.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
北ヨーロッパ,スウェーデン,東岸ストックホルムの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,SWE-stockholm,138,位置の目印（面積を持たない）,地域別数値は未取得,8.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
北ヨーロッパ,デンマーク,東部コペンハーゲンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,DNK-copenhagen,139,位置の目印（面積を持たない）,地域別数値は未取得,4.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
西ヨーロッパ,オーストリア,東部ウィーンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,AUT-vienna,140,位置の目印（面積を持たない）,地域別数値は未取得,8.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
南ヨーロッパ,イタリア,北部ミラノの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ITA-milan,141,位置の目印（面積を持たない）,地域別数値は未取得,4.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
南ヨーロッパ,スペイン,北東部バルセロナの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ESP-barcelona,142,位置の目印（面積を持たない）,地域別数値は未取得,3.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; FRA2024,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://fra.europa.eu/en/publication/2024/being-muslim-eu
南ヨーロッパ,スペイン,アフリカ側の飛び地セウタ,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ESP-ceuta,143,位置の目印（面積を持たない）,地域別数値は未取得,3.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南ヨーロッパ,スペイン,アフリカ側の飛び地メリリャ,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ESP-melilla,144,位置の目印（面積を持たない）,地域別数値は未取得,3.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アメリカ,カナダ,南東部トロントの一部,やや高い,トロント市の私的世帯人口でムスリム9.6%（2021年）。カナダの2016年調査ではムスリム女性48%がヒジャブを着用と回答。,CAN-toronto,145,位置の目印（面積を持たない）,Toronto city: 9.60% (2021年),4.9%,服装調査あり（地図の各範囲を直接測定したものではない）,STATCAN2021; ENVIRONICS2016; PEW2025,https://www.statcan.gc.ca/o1/en/plus/7238-ethnocultural-diversity-canadian-cities; https://www.environicsinstitute.org/docs/default-source/project-documents/survey-of-muslims-in-canada-2016/final-report.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アメリカ,カナダ,南東部モントリオールの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,CAN-montreal,146,位置の目印（面積を持たない）,地域別数値は未取得,4.9%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; STATCAN2021; ENVIRONICS2016,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.statcan.gc.ca/o1/en/plus/7238-ethnocultural-diversity-canadian-cities; https://www.environicsinstitute.org/docs/default-source/project-documents/survey-of-muslims-in-canada-2016/final-report.pdf
北アメリカ,アメリカ合衆国,北東寄りの五大湖周辺（デトロイト西郊など）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,USA-detroit,147,位置の目印（面積を持たない）,地域別数値は未取得,1.2%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_US2017,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/religion/2017/07/26/religious-beliefs-and-practices/
北アメリカ,アメリカ合衆国,北部内陸ミネアポリスの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,USA-minneapolis,148,位置の目印（面積を持たない）,地域別数値は未取得,1.2%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_US2017,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/religion/2017/07/26/religious-beliefs-and-practices/
北アメリカ,アメリカ合衆国,北東岸ニューヨークの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,USA-new-york,149,位置の目印（面積を持たない）,地域別数値は未取得,1.2%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_US2017,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/religion/2017/07/26/religious-beliefs-and-practices/
南アメリカ,スリナム,北部海岸（パラマリボ周辺）,やや高い,ムスリム生活圏のある南米の候補。国の大部分を占める内陸森林を同色にしない。,SUR-paramaribo,150,位置の目印（面積を持たない）,地域別数値は未取得,13.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アメリカ,ガイアナ,北東部海岸（ジョージタウン周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GUY-georgetown,151,位置の目印（面積を持たない）,地域別数値は未取得,6.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
カリブ海,トリニダード・トバゴ,トリニダード島の中西部（チャグアナス周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,TTO-chaguanas,152,位置の目印（面積を持たない）,地域別数値は未取得,5.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
オーストラリア・ニュージーランド,オーストラリア,南東岸シドニーの西部・南西部の一部,やや高い,グレーター・シドニーのムスリム人口6.3%（2021年）は都市圏全体の値。着用率ではない。,AUS-sydney,153,位置の目印（面積を持たない）,Greater Sydney: 6.30% (2021年),3.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,ABS2021; PEW2025,https://www.abs.gov.au/census/find-census-data/quickstats/2021/1GSYD; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
オーストラリア・ニュージーランド,オーストラリア,南東部メルボルン北部などの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,AUS-melbourne,154,位置の目印（面積を持たない）,地域別数値は未取得,3.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; ABS2021,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.abs.gov.au/census/find-census-data/quickstats/2021/1GSYD
オーストラリア・ニュージーランド,ニュージーランド,北島北部オークランドの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,NZL-auckland,155,位置の目印（面積を持たない）,地域別数値は未取得,1.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
メラネシア,フィジー,ビティレブ島西部（ラウトカ周辺）,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,FJI-lautoka,156,位置の目印（面積を持たない）,地域別数値は未取得,5.8%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
